UID,ID_Base,Categoría,Modelo Principal,Modelo,Submodelo,ctx_precio,precio_num,precio_lista_num,bono_num,Precio_Texto,fuente_texto_raw,Modelo_URL,Archivo_Origen,Fecha,Timestamp,estado,Tipo_Vehiculo
F678A06B1517,byd|dolphin|dolphin,BYD,DOLPHIN,DOLPHIN,BYDDOLPHINDOLPHIN,financiamiento:marca,27990000,28990000,1000000,$27.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-02-01,2025-02-01T10:00:00.000Z,vigente,Eléctrico
1A7857CE7929,byd|dolphin|dolphin,BYD,DOLPHIN,DOLPHIN,BYDDOLPHINDOLPHIN,financiamiento:marca,23990000,28990000,5000000,$23.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-03-01,2025-03-01T10:00:00.000Z,vigente,Eléctrico
60D5635FBBDB,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GL,financiamiento:marca,18990000,20990000,2000000,$18.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-03-01,2025-03-01T10:00:00.000Z,vigente,Eléctrico
7B02B1B353CB,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GL,financiamiento:marca,18990000,20990000,2000000,$18.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-04-01,2025-04-01T10:00:00.000Z,vigente,Eléctrico
C265BEF06F4D,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GL,financiamiento:marca,17990000,18990000,1000000,$17.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-05-01,2025-05-01T10:00:00.000Z,vigente,Eléctrico
4EA868847105,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GL,financiamiento:marca,17990000,18990000,1000000,$17.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-06-01,2025-06-01T10:00:00.000Z,vigente,Eléctrico
92BDC901D236,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GL,financiamiento:marca,17990000,18990000,1000000,$17.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-07-01,2025-07-01T10:00:00.000Z,vigente,Eléctrico
B400C2F61D69,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GL,financiamiento:marca,18990000,18990000,0,$18.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-08-01,2025-08-01T10:00:00.000Z,vigente,Eléctrico
6A8E963EAA3C,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GL,financiamiento:marca,18990000,18990000,0,$18.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-09-01,2025-09-01T10:00:00.000Z,vigente,Eléctrico
0B28044F8933,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GL,financiamiento:marca,17990000,18990000,1000000,$17.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-10-01,2025-10-01T10:00:00.000Z,vigente,Eléctrico
367D4D325FC3,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GL,financiamiento:marca,16990000,18990000,2000000,$16.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-11-01,2025-11-01T10:00:00.000Z,vigente,Eléctrico
E0BB38218DDE,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GL,financiamiento:marca,17490000,18990000,1500000,$17.490.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-12-01,2025-12-01T10:00:00.000Z,vigente,Eléctrico
3A2DC9CB81EF,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GL,financiamiento:marca,15490000,18990000,3500000,$15.490.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2026-01-01,2026-01-01T10:00:00.000Z,vigente,Eléctrico
7D44DD4B1EC7,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GL,financiamiento:marca,15990000,19490000,3500000,$15.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2026-02-01,2026-02-01T10:00:00.000Z,vigente,Eléctrico
2EA247724938,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GS,financiamiento:marca,18990000,20990000,2000000,$18.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-10-01,2025-10-01T10:00:00.000Z,vigente,Eléctrico
DD0A29A7DF40,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GS,financiamiento:marca,18490000,20990000,2500000,$18.490.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-11-01,2025-11-01T10:00:00.000Z,vigente,Eléctrico
7F7ED2B5A3F5,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GS,financiamiento:marca,19490000,20990000,1500000,$19.490.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-12-01,2025-12-01T10:00:00.000Z,vigente,Eléctrico
97596A0F4222,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GS,financiamiento:marca,16990000,20990000,4000000,$16.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2026-01-01,2026-01-01T10:00:00.000Z,vigente,Eléctrico
1C51E7CB3D8F,byd|mini-dolphin|mini-dolphin,BYD,MINI DOLPHIN,MINI DOLPHIN,GS,financiamiento:marca,16990000,20990000,4000000,$16.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2026-02-01,2026-02-01T10:00:00.000Z,vigente,Eléctrico
4D2687B82BC6,byd|song-pro|song-pro,BYD,SONG PRO,SONG PRO,GL,financiamiento:marca,27490000,28990000,1500000,$27.490.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-08-01,2025-08-01T10:00:00.000Z,vigente,SUV
EA3CCB3025D2,byd|song-pro|song-pro,BYD,SONG PRO,SONG PRO,GL,financiamiento:marca,27490000,28990000,1500000,$27.490.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-09-01,2025-09-01T10:00:00.000Z,vigente,SUV
D42B2283DD2E,byd|song-pro|song-pro,BYD,SONG PRO,SONG PRO,GL,financiamiento:marca,28990000,28990000,0,$28.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-10-01,2025-10-01T10:00:00.000Z,vigente,SUV
2085BB2D6FAC,byd|song-pro|song-pro,BYD,SONG PRO,SONG PRO,GL,financiamiento:marca,26990000,28990000,2000000,$26.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-11-01,2025-11-01T10:00:00.000Z,vigente,SUV
9787EF4A0EBA,byd|song-pro|song-pro,BYD,SONG PRO,SONG PRO,GL,financiamiento:marca,26990000,28990000,2000000,$26.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2025-12-01,2025-12-01T10:00:00.000Z,vigente,SUV
AB6F7EE72B61,byd|song-pro|song-pro,BYD,SONG PRO,SONG PRO,GL,financiamiento:marca,22990000,28990000,6000000,$22.990.000,,,Evolutivo_de_Precios_Chile2026.xlsx,2026-01-01,2026-01-01T10:00:00.000Z,vigente,SUV
